@Miickass	A dormir con el Goordo	Fri May 01 23:13:42 EDT 2015	-37.01499,-57.139223
@kacungikhsan	Gresik hihi 😬 RT "@infoGRESIK: Duduk, Cak! Itu Alun-Alun kita 😥😥😥 RT @hudaimanu_ min, inikah taman kota kita? http://t.co/oa3QLzzXlL"	Fri May 01 23:22:54 EDT 2015	-7.152003,112.653474
@joyaguiarr	só vou dormir depois que passar Steve Aoki	Fri May 01 23:22:54 EDT 2015	-22.862314,-43.239279
@_blendapaula	so burra msm 😭💔😞	Fri May 01 23:22:56 EDT 2015	-19.363538,-41.381999
@isnikurniati	Love Me Like You Do by @elliegoulding (at Perumahan Vila Pertiwi Real Estate) — https://t.co/UVmvf0Q20p	Fri May 01 23:23:05 EDT 2015	-6.42068,106.85081
@KenzieKunz	I'm so excited to see Caleb in his tux tomorrow. I'll have the most handsome date there	Fri May 01 23:23:05 EDT 2015	39.960374,-82.483615
@AllRiseKi	Bebas Agama *yawn*	Fri May 01 23:23:08 EDT 2015	-7.363668,111.127928
@DaiGaldeano	No se que siento 😞	Fri May 01 23:23:11 EDT 2015	-34.62463,-68.344931
@oimoraes	Acabou de publicar uma foto @ Seven's https://t.co/8FPvRoTzrJ	Fri May 01 23:23:13 EDT 2015	-29.770513,-51.143508
@Raphaelagama_	@juao_peedro7 pq vc é assim, João?	Fri May 01 23:23:14 EDT 2015	-15.807582,-48.058754
@FlorentinaAW	Relax! refresh! 🏊 (with Tria and Harimurti at Ekowisata Taman Air Tlatar) — https://t.co/goRFtki3k5	Fri May 01 23:23:20 EDT 2015	-7.4931,110.62248
@AhmadNurfaris	Tak guna betul la siang2 buta main lagu disko	Fri May 01 23:23:22 EDT 2015	3.414976,101.661638
@tk77kacchinn72	@ragho_net サイン会当選当たりましたよ。	Fri May 01 23:23:25 EDT 2015	35.700632,139.772696
@JoseJosserme	Felices 3 meses amor de mi vida . http://t.co/J4iw3LgmI8	Fri May 01 23:23:36 EDT 2015	-35.292431,-61.407786
@MasTorta1	Ojala mañana no llueva quiero salir	Fri May 01 23:23:39 EDT 2015	-34.552388,-58.495684
@idasitompul	Family Gathering Mold Engineering Part 1... (at @deranchlembang) [pic] — https://t.co/WJlEPknnOf	Fri May 01 23:23:40 EDT 2015	-6.81579,107.62634
